,Type,Modèle,Marque,Kilométrage,État,Première main,Origine,Année-Modèle,Nombre de portes,Secteur,Name,Price,Power,Gear,Fuel
88,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,70 000 - 74 999,Excellent,Non,WW au Maroc,2020,5,2 Mars,Bb Vilar diesel,385 000 DH,8 CV,Automatique,Diesel
89,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,200 000 - 249 999,Très bon,Non,WW au Maroc,2011,5,2 Mars,Range sport,115 000 DH,11 CV,Automatique,Diesel
90,"Voitures d'occasion, à vendre",A6,Audi,250 000 - 299 999,Très bon,Non,WW au Maroc,2008,5,2 Mars,Audi a6 automatique ,69 000 DH,11 CV,Automatique,Diesel
91,"Voitures d'occasion, à vendre",Clio,Renault,95 000 - 99 999,Très bon,Non,WW au Maroc,2018,5,2 Mars,Clio4 diesel,105 000 DH,6 CV,Manuelle,Diesel
92,"Voitures d'occasion, à vendre",Serie 3,BMW,100 000 - 109 999,6,,WW au Maroc,2019,5,,BMW 320d pack M état w,Prix non spécifié,8 CV,Automatique,Diesel
93,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,50 000 - 54 999,Excellent,Non,WW au Maroc,2020,5,Les Princesses,Land Rover sport ,Prix non spécifié,12 CV,Automatique,Diesel
94,"Voitures d'occasion, à vendre",Q8,Audi,10 000 - 14 999,Excellent,,Importée neuve,2022,5,Aïn Chock,Audi Q8 S line Diesel,Prix non spécifié,12 CV,Automatique,Diesel
95,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,90 000 - 94 999,Excellent,Oui,Importée neuve,2018,,,RANGE ROVER SPORT,Prix non spécifié,,,Diesel
96,"Voitures d'occasion, à vendre",Q3,Audi,35 000 - 39 999,Très bon,Oui,,2020,5,Branes 1,Audi RSQ3 ,Prix non spécifié,14 CV,Automatique,Essence
97,"Voitures d'occasion, à vendre",Civic,Honda,190 000 - 199 999,,,,2008,,,Honda Civic automatique,75 000 DH,10 CV,Automatique,Essence
98,"Voitures d'occasion, à vendre",Civic,Honda,120 000 - 129 999,Très bon,,WW au Maroc,2008,5,Hay Al Matar,Honda civic ,Prix non spécifié,9 CV,Automatique,Essence
99,"Voitures d'occasion, à vendre",Focus,Ford,100 000 - 109 999,Excellent,,WW au Maroc,2014,,,FORD FOCUS ,Prix non spécifié,6 CV,Manuelle,Diesel
100,"Voitures d'occasion, à vendre",Tiguan,Volkswagen,170 000 - 179 999,Très bon,,WW au Maroc,2013,5,Autre secteur,Volkswagen tiguan diesel 2.0 L TDI automatique,175 000 DH,8 CV,Automatique,Diesel
101,"Voitures d'occasion, à vendre",Cayenne,Porsche,15 000 - 19 999,,Oui,Importée neuve,2022,5,,Porsche Cayenne Hybride Coupé ,1 460 000 DH,17 CV,Automatique,Hybride
102,"Voitures d'occasion, à vendre",Jetta,Volkswagen,450 000 - 499 999,Correct,Non,,1988,5,Aïn Sebaâ,Golfe ,20 700 DH,6 CV,Manuelle,Diesel
103,"Voitures d'occasion, à vendre",Classe C,Mercedes-Benz,95 000 - 99 999,,,Importée neuve,2019,,,Mercedes benz c220 d,Prix non spécifié,,,Diesel
104,"Voitures d'occasion, à vendre",Continental gtc,Bentley,5 000 - 9 999,Excellent,Oui,WW au Maroc,2022,3,,BENTLEY GTC,2 850 000 DH,23 CV,Automatique,Essence
105,"Voitures d'occasion, à vendre",Civic,Honda,120 000 - 129 999,Très bon,,WW au Maroc,2008,5,Hay Al Matar,Honda civic ,Prix non spécifié,9 CV,Automatique,Essence
106,"Voitures d'occasion, à vendre",Focus,Ford,100 000 - 109 999,Excellent,,WW au Maroc,2014,,,FORD FOCUS ,Prix non spécifié,6 CV,Manuelle,Diesel
107,"Voitures d'occasion, à vendre",Tiguan,Volkswagen,170 000 - 179 999,Très bon,,WW au Maroc,2013,5,Autre secteur,Volkswagen tiguan diesel 2.0 L TDI automatique,175 000 DH,8 CV,Automatique,Diesel
108,"Voitures d'occasion, à vendre",Cayenne,Porsche,15 000 - 19 999,,Oui,Importée neuve,2022,5,,Porsche Cayenne Hybride Coupé ,1 460 000 DH,17 CV,Automatique,Hybride
109,"Voitures d'occasion, à vendre",Jetta,Volkswagen,450 000 - 499 999,Correct,Non,,1988,5,Aïn Sebaâ,Golfe ,20 700 DH,6 CV,Manuelle,Diesel
110,"Voitures d'occasion, à vendre",Classe C,Mercedes-Benz,95 000 - 99 999,,,Importée neuve,2019,,,Mercedes benz c220 d,Prix non spécifié,,,Diesel
111,"Voitures d'occasion, à vendre",Continental gtc,Bentley,5 000 - 9 999,Excellent,Oui,WW au Maroc,2022,3,,BENTLEY GTC,2 850 000 DH,23 CV,Automatique,Essence
112,"Voitures d'occasion, à vendre",Clio,Renault,10 000 - 14 999,Excellent,Non,WW au Maroc,2015,5,Toute la ville,Clio 4 automatique 2015,115 000 DH,6 CV,Automatique,Diesel
113,"Voitures d'occasion, à vendre",Classe SL,Mercedes-Benz,0 - 4 999,,Oui,Importée neuve,2022,3,,NEW SL 63 AMG,3 300 000 DH,34 CV,Automatique,Essence
114,"Voitures d'occasion, à vendre",206,Peugeot,250 000 - 299 999,Très bon,,WW au Maroc,2005,5,,Peugeot 206 ,52 000 DH,7 CV,Manuelle,Diesel
115,"Voitures d'occasion, à vendre",308,Peugeot,80 000 - 84 999,Excellent,,WW au Maroc,2018,5,Sidi Maarouf,Peugeot,154 000 DH,6 CV,Manuelle,Diesel
116,"Voitures d'occasion, à vendre",A3,Audi,0 - 4 999,Excellent,Non,Dédouanée,2009,5,El Alia,Audi,135 000 DH,8 CV,Automatique,Diesel
117,"Voitures d'occasion, à vendre",Doblo,Fiat,190 000 - 199 999,,,,2012,,,Fiat Doblo ,60 000 DH,5 CV,,Diesel
118,"Voitures d'occasion, à vendre",Uno,Fiat,100 000 - 109 999,Correct,Oui,WW au Maroc,1997,5,Administratif,FIAT UNO 1997,40 000 DH,7 CV,Manuelle,Diesel
119,"Voitures d'occasion, à vendre",cayenne_coupe,Porsche,0 - 4 999,Excellent,Non,Importée neuve,2023,5,Maarif,Porsche Cayenne E-Hybrid Pack Platinum,Prix non spécifié,20 CV,Automatique,Hybride
120,"Voitures d'occasion, à vendre",Passat,Volkswagen,25 000 - 29 999,Excellent,,Dédouanée,2010,5,,passât b6 C3 2L pack cc ,114 000 DH,8 CV,Manuelle,Diesel
121,"Voitures d'occasion, à vendre",Q8,Audi,0 - 4 999,6,,Importée neuve,2023,5,Aïn Chock,Audi Q8 Diesel 2023,Prix non spécifié,11 CV,Automatique,Diesel
122,"Voitures d'occasion, à vendre",Golf,Volkswagen,15 000 - 19 999,6,Oui,Importée neuve,2021,,,Volkswagen Golf 8 R ,Prix non spécifié,12 CV,Automatique,Essence
123,"Voitures d'occasion, à vendre",i 30,Hyundai,190 000 - 199 999,Bon,,WW au Maroc,2014,5,Ain Amiyer,Hyundai,116 000 DH,6 CV,Automatique,Diesel
124,"Voitures d'occasion, à vendre",Scenic,Renault,5 000 - 9 999,Bon,Non,WW au Maroc,2001,5,,Renault,40 000 DH,7 CV,Manuelle,Diesel
125,"Voitures d'occasion, à vendre",210,Mercedes-Benz,250 000 - 299 999,6,Non,Importée neuve,2010,5,Hay el Fath,Mercedes,130 000 DH,9 CV,Automatique,Diesel
126,"Voitures d'occasion, à vendre",Logan,Dacia,70 000 - 74 999,Excellent,,WW au Maroc,2019,5,Tabriquet,Dacia logan diesel ,115 000 DH,6 CV,Manuelle,Diesel
127,"Voitures d'occasion, à vendre",Logan,Dacia,180 000 - 189 999,,,,2015,,,dacia logan,83 000 DH,6 CV,,Diesel
128,"Voitures d'occasion, à vendre",Jetta,Volkswagen,95 000 - 99 999,Excellent,Oui,WW au Maroc,2017,5,,Volkswagen Jetta model 2017,Prix non spécifié,8 CV,Manuelle,Diesel
129,"Voitures d'occasion, à vendre",Sandero,Dacia,65 000 - 69 999,Très bon,Oui,WW au Maroc,2017,5,Toute la ville,Dacia,93 000 DH,6 CV,Manuelle,Diesel
130,"Voitures d'occasion, à vendre",Clio,Renault,200 000 - 249 999,Très bon,Non,WW au Maroc,2013,5,,Renault,62 000 DH,6 CV,Manuelle,Essence
131,"Voitures d'occasion, à vendre",306,Peugeot,0 - 4 999,Bon,Oui,,1996,5,Toute la ville,Peugeot,35 000 DH,8 CV,Manuelle,Diesel
132,"Voitures d'occasion, à vendre",Passat,Volkswagen,200 000 - 249 999,Très bon,,WW au Maroc,2009,5,Autre secteur,volkswagen passat B6 break 1.9 TDI /BLEumotion,110 000 DH,8 CV,Manuelle,Diesel
133,"Voitures d'occasion, à vendre",Uno,Fiat,160 000 - 169 999,Très bon,,WW au Maroc,1996,5,Autre secteur,Fiat Uno Essence ,23 000 DH,6 CV,Manuelle,Essence
134,"Voitures d'occasion, à vendre",Clio,Renault,60 000 - 64 999,Excellent,Oui,WW au Maroc,2018,5,,Clio 4 automatique,138 000 DH,6 CV,Automatique,Diesel
135,"Voitures d'occasion, à vendre",Grand i10,Hyundai,85 000 - 89 999,Très bon,Non,WW au Maroc,2016,5,,hyundai grand i10 automatique ,90 000 DH,6 CV,Automatique,Essence
136,"Voitures d'occasion, à vendre",Classe GLC,Mercedes-Benz,160 000 - 169 999,Excellent,,Dédouanée,2015,5,Maarif,GLC 250d 4 matic ,390 000 DH,9 CV,Automatique,Diesel
137,"Voitures d'occasion, à vendre",Focus,Ford,170 000 - 179 999,Bon,,WW au Maroc,2002,5,,Ford,46 000 DH,7 CV,Manuelle,Diesel
138,"Voitures d'occasion, à vendre",220,Mercedes-Benz,15 000 - 19 999,Très bon,Non,Dédouanée,2001,5,,Mercedes 220 classe E ,65 000 DH,9 CV,Automatique,Diesel
139,"Voitures d'occasion, à vendre",307,Peugeot,150 000 - 159 999,Très bon,Oui,WW au Maroc,2004,5,,Peugeot,45 000 DH,8 CV,Manuelle,Essence
140,"Voitures d'occasion, à vendre",Focus,Ford,170 000 - 179 999,Bon,,WW au Maroc,2002,5,,Ford,46 000 DH,7 CV,Manuelle,Diesel
141,"Voitures d'occasion, à vendre",220,Mercedes-Benz,15 000 - 19 999,Très bon,Non,Dédouanée,2001,5,,Mercedes 220 classe E ,65 000 DH,9 CV,Automatique,Diesel
142,"Voitures d'occasion, à vendre",307,Peugeot,150 000 - 159 999,Très bon,Oui,WW au Maroc,2004,5,,Peugeot,45 000 DH,8 CV,Manuelle,Essence
